clean_text,label
ஒருவாட்டி கூட நீங்கள் யாருமே என்னைப் புரிந்துகொண்டது இல்லை,1
நான் இப்போது வாழ்க்கும் வாழ்க்கையும் என்னுக்குத் தெரிகிறது என் வாழ்க்கையும் முடிந்துவிட்டது,1
எனக்கு இப்ப தான் தோன்றுது நான் உன்னை எவ்வளவு நம்பினேன்னு ஆனா கடைசில நீ என்னை இப்படி ஏமாதிட்டு போய்ட்டாய்,1
கடவைத் திறந்திருக்கா திறக்க முடியுமா என்னால் இங்கிருக்க முடியாது,1
ஏதோ பெருஸ்வா நிலைக்கப்போகும் மாதிரி எனக்கு மிகவும் பயமா இருக்கு,1
நான் எல்லாருக்கு எட்டியும் சிரித்துதான் பேசுகிறேன் நல்லதான் இருக்கேன் ஆனால் ஏனெல்லாமே ஒரு கடைசியில் ஒரு பெரிய நோடகமா இருக்கு,1
எலாமே நாளைக்கு பண்ணலானு பாப்பேன் ஆனால் எனக்கு இப்போது நாளைக்கு வருவது கூட பிடிக்க மாட்டேன்குது,1
எனக்கு ஏதாவது ஆயிலம் போல இருக்க எனக்கு மிகவும் பயமாக இருக்க,1
எனக்கு இந்த வாழ்க்கையே பிடிக்கவில்லை நான் என்ன தவறா,1
என்னிடம் தில் பெரிய சத்தம் கேட்டிட்டே இருக்கும் போல இருக்கு என்னால் அது தாங்க வே முடியலை,1
எனக்கு இப்போலான என்ன செய்வது என்று தெரியவில்லை எதாவே வெறுத்து போன மாதிரி இருக்கிறது இப்போதும்,1
நான் யாருக்கு என்ன பாவம் சென்றேன் எல்லாரும் ஏன் என்னை இப்படி கஷ்டப்படுத்திட்டு இருக்காங்க,1
ஒரு நாள் புரியும் உனக்காக நான் தான் எல்லாம் மாற்றிட்டேன்னு அன்னா அப்ப நீ யோசிக்குறப்பே நான் உன்னுடன் இருக்க மாட்டேன்,1
நான் எதற்கு இப்படி செய்து கொண்டு என்று எனக்கு தெரியவில்லை ஆனால் என்ன செய்வது எனக்கு புரியமாட்டீங்கள்,1
யாரும் இங்கே இருக்கும் மாதிரி இருக்க என்னால் முடியும்து இதற்கு நான் இங்கே இருக்கதே முடியாது,1
என்ன பொறுமை என்ன நிதானம் எவ்வளவு நாளைக்குத்தான் நான் இந்த வாழ்க்கையை வாழ்வதுனே தெரியல,1
என் கஷ்டத்தைப் புரிந்துகொள்ளக்கூட யாருமே முயற்சி பணமாட்டுண்டான்னு நான் யாருக்கும் அவ்வளவு முக்கியம் இல்லையோ,1
என்ன ஆகுது ஏன் என்னால் இதையும் புரிந்துகொள்ள வே முடியவில்ல எல்லாமே ரொம்ப திசமாரி போன மாதிரி இருக்கு,1
என் வாழ்க்கை என் கையில் இருந்து இருந்தால் இவ்வளவு மூசமாக ஆக விட்டுருப்பேனா என்று எனக்கு தெரியவில்லை,1
யாரும் நான் எப்படி இருக்கேன்னு கேக்கமாட்டார்கள் கேட்டாலும் நான் பதில் சொல்வதற்கு முன்னாடியே போய்விடுவார்கள்,1
இன்னும் எவ்வளோ நாள்தான் இந்த மாதிரி இருக்கப் போறு என் உடம்பு மட்டும் தான் இங்க இருக்கு என்ன உயிரில்ல,1
நான் அழுத எல்லாரும் நடிக்கும் என்று சொல்கிறார்கள் நான் எவ்வளவு நிறந்து நான் ஒன்றும் பண்ணு என்னுடைய கஷ்டுப் பிடுத்த மாதிரி நடிப்பேன் ஒன்றும்,1
என்னுடைய கஷ்டும் என்னுடைய சுவ்பம் பற்றி பேசுன்னால் யாரும் புரிந்துக்க முடியாது,1
கடவைத் திருந்திருக்கா திருக்க முடியுமா என்னால் இங்க இருக்க முடியாது,1
என் வாழ்க்கையில் எனக்கு நிம்மதி கிடைக்குமா ஒரு நாள் கூட என்னால் நிம்மதியாவே இருந்தது இல்லை,1
எனக்கு எதுக்கும் தைரியம் இல்ல எப்படி மாறுவது,1
எனக்கு அலுத்து போச்சு என்னை யாருமே புரிந்துக்க வே மாட்டேன்குறாங்க,1
நீ ஏன் இப்படி பேசுற உன்னால்தான் நான் இவ்வளவு கஷ்டப் போட்டிட்டு இருக்கேன் கடைசில எல்லா பல்லையும் ஏன் மேல போடாதே,1
நான் எப்போமே சந்தோஷமா இருக்க மாதிரி நடிக்க வேண்டும் என்னுடைய கஷ்டத்தைப் பார்த்தால் நான் யாராலும் அதைத் தாங்க முடியாது,1
சண்ணிக்க முடியுமா என்னால் என்னால் சண்ணிக்குக்கூட முடியாதாம்,1
என்னை ஏன் எல்லாரு கஷ்டப் படுத்துறாங்க நான் யாருக்கு என்ன பாவம் செய்தேன்,1
என் கஷ்டத்தைக்கூட யாரும் புரிந்துகொள்ள முயற்சி பணமாட்டும் ராமே நான் அவ்வளவு முக்கியம் இல்லையா யாருக்கும்,1
என்மேல யாருக்கும் அக்கறை இருந்ததும் இல்லை வருப்பா வருமாலும் எனக்கு நும்பிக்கையும் இல்லை,1
இப்போது எதுவும் சரியா போகும் என்று ஒரு நிமிடம் கொள்ளும் நம்பிக்கையில்லை என்னுடைய பயமே என் வாழ்க்கையை முடித்துடும் போல இருக்கு,1
எப்போது பத்தால் இந்திருந்தால் பிரச்சிதியில் தலையுடுவான்ல நான் உங்களுக்கு என்ன பண்ணாய்,1
இது கழந்து போகும்,1
ஒரு ஒரு வாட்டிக்கூட என்னால் என்னை யாருமே புரிந்துகொண்டது இல்லை தெரியுமா,1
கம்பவே பயமாக இருக்கு இப்படி சும்மா இருந்தால் என்னவோ பெருச்சு நடக்கப்போகும் மாதிரி பயமாக இருக்கு,1
ஓ நாம் மட்டும்தான் தப்பு பண்ணேன் என்னிட்சீயா நீயும்தான் தப்பு பண்ணேன் நீ என்னை சுத்தமாகப் புரிந்துக்கொள்ளவே கிடையாது இதுல,1
என்ன ஆகிறது நானே புரிந்துகொள்ள முடியவில்லை எல்லாமே திசமாரி போய்விட்டது,1
நான் ஏன் எதற்கு ஏன் இப்படி மாற்றேன் என்று எனக்குப் புரியவில்லை யார் மறிக்காதது நலையாகம் தெரியவில்லை,1
நான் நான் ஓடிட்டே இருந்தேன் அப்பு கடைசியில் அனைத்தும் முடியப்போதான்,1
ஏதோ பருசா நடக்கப்போற மாறிப் பயமா இருக்கு,1
என்ன நினைச்சிட்டு இருக்கேன் நான் இந்த முட்டாலா உன்னை நம்பந்ததுனால்தான் இப்படி கஷ்டிய பட்டியுட்டு இருக்கேன் நான்,1
நான் எப்படி இருந்து நினைத்து பார்த்தால் எனக்கு சுத்தமா தெரியவில்லை சிரிக்கும்தான் இல்லை அழுவதான் என்று,1
நாயாருக்குமே முக்கியுள்ளேன என நு ட்ரீயு ஆனா இன்னும் அங்கே கேட்டது நாய் என்னே எத்திரைப் பாத்திடுக்கேன் து எனக்கு தெரியவில்லை,1
இந்த இடத்தில் எப்போதும் பெரிய சத்தம் கேட்கும் போல இருக்கு என்னால் அது தாந்து முடியவில்லை,1
எனக்கும் இதாவது செய்யவேண்டும் என ஆசை இருக்கு ஆனால் நான் என்ன என்று செய்வேன் நீ உள்ளுக்குள்ளதான் ஒன்றுமே இல்லையே,1
அவர்களிடம் ஒரே ஒரு வாட்டி பேசும் ஆனால் நான் பேசுவதுக்கு கேட்குவதுக்குக்குள் அவர் தயாராக இல்லை,1
கண்ணுகூட மூட முடியல யாரோ என்னைப் பார்த்துக்கொண்டு இருக்கும்போது மாதிரி இருக்கு,1
நான் ஏன் எப்போ எதற்கு இப்படி மாறுன்று எனக்கே புரியவில்லை என்னை யாரும் மதிக்கதுன்னாலேயா ஐயோ நான் என்ன பண்ணுவேன்,1
யாராவது எனக்கு வந்து ஆர்தல் சொல்லுவார்களா என்று எதிர்பார்ப்பேன் ஆனால் யாருமே வரமாட்டார்கள்,1
ஐயோ நான் எதற்கு எப்போது ஏன் இப்படி மாறுனேன் என்று எனக்கு தெரியவில்லை நான் என்ன செய்கிறேன் என்று வைத்துட்டு,1
எனக்கு முதல் திருமணில் ஒன்றும் ஞாபகம் வரலாம் இனி தெரியும் என்றாலும் ஒன்றும் ஞாபகம் வரலாம்,1
எனக்கு எதுவும் வேண்டாம் நான் தனியா இருக்கணும் யாரும் என்ன தேடாதீங்க,1
என்னை விட்டு போய்டு ஆனா ஒன்னும் மட்டும் நியாபகம் வைச்சுக்கோ உன்னால் அதே என் வாழ்க்கை இவ்வளவு நாசமா போச்சு,1
இன்னும் எவ்வளவு நாள் தான் இப்படி இருப்பேன் என்று எனக்கும் தெரியவில்லை என் வாழ்க்கையில் ஏதாவது மாறுனால் நல்லதான் இருக்கும்,1
என் மனது என்னை விட்டுப் போன மாதிரி இருக்கு,1
எனக்கு எதுக்கும் தெரியும் இல்ல எப்படி மாறுறது,1
கதவைத் திறந்துருக்கும் திறக்க முடியும் என்னால் இங்கே இருக்க முடியவில்ல,1
எல்லாரும் ஏழை வெள்ளிடு போய்விடுவார்களா அது ஒன்றும் தனியே இருந்தால் எனக்கு என்ன ஆகும்,1
நான் ஒரு நாள் கூட இருக்கிறது இல்லை ஒரு வித்தியாகச் சொல்லுவிடாதே நான் இருக்கின்றன அல்லவானுக்கும் தெரியாதே,1
எனக்கும் ஏதாவது செய்யவேண்டும் என்று காசியுள்ளது ஆனால் என் உள்ளுக்குள் ஒன்றுமே இல்லை பிறகு நான் என்ன செய்வேன்,1
எல்லாரும் என்னைப் பார்த்து சிரிப்பார்களா,1
என் மனத்தில் நிறைய கேள்விகள் இருக்கு ஆனா பதில் ஒன்றும் கிடைக்கவில்ல நான் ஏன் இப்படி இருக்கன்னு தெரியல்ல,1
எல்லாருக்கும் கஷ்டம் வரும்னு சொல்கிறார்கள் ஆனால் அவர்கள் பார்த்ததும் எனக்கு வந்ததும் ஒன்னா,1
சரி இயாருக்கும் என் வலி முக்கியம் இல்லைல்லை பரவாயில்லை நான் என்ன செய்து பார்த்தேன் எனக்கு தெரியவில்லை,1
கண்கலங்குரா அல்லவுக்கு பிரச்சின்ற இருந்தாலும் என்னால் அதைப்பற்றி யார்க்கட்டியும் சொல்ல முடியாது,1
கண்ணுகூட மூட முடியலா யாரோ என்ன பார்த்துக்கொண்டு இருக்குங்க மாதிரி இருக்கு,1
என் மூச்சி அடங்கிட மாறி இருக்கு இதுவும் கடங்க போயிடுமா,1
இப்போது நவால் ரு இந்த வாழ்க்கு என் வாழ்க்கு இல்லை என் வாழ்க்கு எப்போதும் முடித்து போச்சு,1
எதுவும் புரியல நான் ஏன் இப்படி இருக்கேன்னும் தெரியல எல்லாரும் என்னை விட்டுட்டு போய்ட்டாங்க,1
நாளை இன்னும் எவ்வளவு பாரும் தான் போர்த்துக்கொள்ள முடியும் தெரியவில்ல என் மனத்தில் இருக்கும் பாரும் என்னை கொஞ்சு கொஞ்சுமான் கொண்டு இருக்கும்,1
என்னதான் நான் செய்யவில்லை என்னை யாருமே காப்பத்துவிட மாட்டார்களா,1
என்னால்தான் அனைவருக்கும் பிரச்சினை நாமட்டும் இல்லையென்றால் எல்லாரும் நல்ல இருப்போகும்,1
இந்த வாய்க்கையைப் புரியவில் நான் தவறா,1
நா இப்போல நானாவே இல்லை வேறை யார் மாதிரியும் நடந்துட்டு இருக்கிறேன் இப்போல,1
என்னால் எதுவும் செய்ய முடியவில்லை நான் ஒரே தோழ்வி மாதிரி இருக்க எல்லாரும் என்னை விட்டுட்டு போய்விட்டார்கள்,1
என்னதான் செயலேனா யாரும் என்னைக் காப்பாற்ற மாட்டாங்களா,1
நான் எப்போது மாறினேன் ஒரு காலத்தில் நானும் சந்தோஷமாதான் இருந்தேன் ஏன் என்னால் இப்போது இனியே புரிந்துக்க முடியவில்லை,1
நான் யாரும் இல்லை என்று தெரியும் ஆனால் என் கண்ணிற்கு வேறு ஒன்று தெரியும்,1
இல்லை நாளும் ஒரு விதியாசமும் வரப்பொருதல்ல நாயிறக்கென்னாலும் கூட யாரும் கவனிக்க மாட்டார்கள்,1
நான் ஒரு நாள் கூட வாழ்வதற்கு இல்லை ஒரு வித்தியாசம் இல்லை யாருக்கும் நான் இருக்கேன் என்று எனக்கூட தெரியாது,1
சரி யாருக்கும் என் வலி முக்கியம் இல்லைல்லை பரவாயில்லை நான் என்ன எதிர்பார்த்து என்று தெரியவில்லை,1
நாய் இருந்தாலும் இல்லாட்டியும் ஒரு வித்யாசமும் ஒரு பொருதல்ல நாய் இருப்பேன் அனுக்குள் யாரும் கவினிக்க மாட்டார்கள்,1
எல்லாரும் நிம்மதியாக இருக்கும்போது நாங்கள் மட்டியே ஒன்றும் போராடிட்டு இருக்கன் இதற்காகமோ போராடிட்டு இருக்கன்,1
என்னை விட்டு போயிடு ஆனா ஒன்னும் நினைவாங்க வைச்சுக்கோ உன்னால தான் என் வாழ்க்கு இப்படி நாசமா போச்சு,1
ஏன் என்னுடைய கஷ்டத்தை யாரும் புரிந்துக்க மயைச்சியே பண்ணமாட்டின்னால் நான் அந்தவளவுக்கு யாருக்கும் முக்கியம் இல்லையா,1
என்னாலே எதுவும் முடிக்க முடியவேண்டும் எனக்கு எது பண்டு இருக்கும் கொஞ்சம் குழியில் இஷ்டமே வரமாட்டேன் குது,1
நீ ஏன் என்னிடம் இப்படிப் பேசுற உன்னாலதான் நான் இவ்வளவு கஷ்டப் போட்டுட்டு இருக்கன் எல்லா பலியும் கடைசிலே ஏமேல போடாதே,1
என்னால்தான் எல்லா பிரச்சினையும் நான் மட்டும் இல்லையென்றால் எல்லாரும் நல்ல இருப்பார்கள்,1
எனக்கு இந்த வாழ்க்கை ஒன்றும் புரியல நான் தவறா,1
யாரோ என் பின்னாடி வர மாறி தோன்றுது என்னாலு முடியாது என்னாலு இங்க கண்டுப்ப இருக்க முடியாது,1
நிம்மதி அப்படின்னு என் வாழ்க்கையில் ஒன்று நடக்க வேண்டும் என்று காடா அது நடந்தால் நான் மிகவும் சந்தோஷமா இருப்பேன்,1
என்னைத்தான் செய்யலேனா யாரும் என்னைக் காப்பாற்ற மாட்டாங்களா,1
எனக்கு தெரியல ஆனால் எப்படி இருந்து நினைத்து பார்த்தால் சிரிக்குறதா இல்ல அளுறுதான்னுடன்,1
என்ன ஆகிறது நானே புரித்துக்கொள்ள முடியவில்லாம் எல்லாம் பெரித்து சமாரி போய்விட்டது,1
எல்லாரும் வாழ்க்கு முன்னாடி போக வேண்டும்னு சொல்கிறாங்க ஆனால் அதற்கு முயற்சி செய்வதற்கான சக்தி கூட ஏன் எனக்கு இல்ல,1
எனக்கு மிகவும் பயமா இருக்கு எப்படி சும்மா இருந்தால் ஏதாவது பெரிசா நடுக்கப்போகும் மாதிரி இருக்கு,1
எல்லாரும் என்னால் முடிவும் என்று சொல்கிறார்கள் ஆனால் சின்னச் சின்ன விஷயத்திற்குக்கூட நான் இவ்வளவு கஷ்டப்படுவேன் என்று எனக்கு மட்டும் தான் தெரியும்,1
நாளை ஓடிட்டே இருந்து அப்பு கடைசியினே அல்லாமே ஓடியுப்போதான்,1
இந்தா இப்ப தான் யோசிச்சேன் நான் உன்னை எவ்வளவு நம்பினேன்னு ஆனா கடைசில நீ என்னை இப்படி ஏமாத்திட்டு போய்ட்டாய்,1
எனக்கு எப்போது நல்லது நடக்குமா ஏன் எனக்கு மட்டும் அப்படி ஒன்று நடக்க வே மாட்டிங்குது,1
அங்கு யாரும் இல்லாய் என்று தெரியும் ஆனா என் கண்ணுக்கு வேறு எந்தோ தெரியுது,1
நான் யாருக்கும் முக்கியம் இல்லை என்று கேட்பியோ தெரிந்து போய்ச்சேன் ஆனால் நான் இன்னும் யாருக்காக எதிர் பார்த்துட்டு இருக்கின்று தெரியவில்லை,1
எனக்கு எதற்குமே தெரியமே இல்லை நான் இதனைத்தான் எப்படி மாறவேன்,1
கண்ணுக்குள் உள்ள முடியினே யாரும் என்னைப் பார்க்குற மாதிரியே இருக்கு,1
என்னால் சந்திக்கக்கூட முடியாதாம்,1
இவ்வளவு நாளா ஓடிக்கொண்டிருந்தேன் ஆனா இப்ப இல்ல முடிந்து போகும் போல,1
எப்போதும் மீண்டும் மன்னித்துக்கொள்ள வேண்டும் ஏனென்றால் என் வலி வெள்ளி வந்தால் யாராலியும் அட தாங்க முடியாது,1
கதவைத் திறந்திருக்கான் திறக்க முடியுமோ என்னால் இங்க இருக்க முடியவில்ல,1
ஒரு நிமிஷ்டக்குக் கொடுயும் மனது நிம்மதியாபேலு எதற்கு இந்த வாழ்க்க,1
என்னால் என்னையே புரிந்துகொள்ள முடியவில்லை அப்படியென்றால் மற்றவர்கள் என்னை புரிந்து பார்க்கும் என்று நான் எப்படி எதிர்பார்க்கிறது,1
எல்லாரும் நிம்பதியா இருக்காங்க நான் மட்டும் எது நாளையும் போராடித்து இருக்கேன் எதுக்காக போராடித்து இருக்கேன்,1
கடவா திருந்திருக்கா திருக்க முடியுமா என்னால் இங்கே இருக்க முடியாது,1
எனக்கு எதுக்கு இந்த வாழ்க்கு ஒரு நாள் கூட சந்தோஷமா இருக்க முடியல எல்லாம் ஒரு கெட்ட கனவு மாதிரி இருக்கு,1
எனக்கு இப்ப தான் தோன்றுது நான் உன்னை எவ்வளவு நம்புனேன்னு ஆனா கடைசில நீ என்னை இப்படி ஏமாதிட்டு போய்ட்டாய்,1
நான் எப்போது எதற்கு இப்படி மாற்றேன் என்னை யாரும் மதிக்காது தோன்று நான் இப்படி மாறிவிட்டேன்ன ஐயோ எனக்கு என்ன செய்வது என்று எனக்கு புரியவில்ல,1
நாளைக்கு எனக்கு தானா கடை எனக்கு நேரம் இவரம் மட்டும் அது எனக்கு தெரியும்,1
எல்லா பிரச்சினையும் நான் மட்டும் இல்லையென்றால் எல்லாரும் நன்றாக இருப்பார்கள்,1
என் மனிது என்னை விட்டு போன மாதிரி இருக்கு,1
ஏன் நான் யாருக்கும் முக்கியும் இல்லை ஏன்,1
அண்ணுக்கூட என்னால் முடை முடையல யாரோ என்ன பின்னோரிலாம் இந்த பாதல் தெருக்கும் மாதிரி இருக்கும்,1
ஏன் என்னால் மட்டல்கள் மாதிரியும் வாழ முடியவேண்டும் பஸ்ட எப்போதும் இன்னுடன் தொடர்ந்து வருமா,1
என்னுடைய உணர்வுதலை யாரும் புரிந்துகொள்ள முடியாது அவர் முயற்சியும் செய்யமாட்டார்கள்,1
என் வாழ்க்கு என் கையில் இருந்து இவ்வளவு மூசமாக விட்டுவிட்டு இல்லாம் என்று எனக்கு தெரியவில்ல விட்டுக்குமும் மாட்டேன்,1
நம் பேரிலளும் போதுக்கொள்ள முடிவு செய்து போர்க்கொது,1
ஒரு நாள் புரியும் உனக்காக நான் தான் எல்லாம் மாற்றிக்டேன்னு அப்ப நீ யோசிச்சுப் பாக்குறப்பே நான் உன்னுடன் இருக்கவே மாட்டேன்,1
யாருக்கும் என்மேல் அக்கறு இருந்ததும் இல்ல எனக்கு வருமானுக்குட்டு நம்பிக்கையும் இல்ல,1
யாராவது என்னிடம் நீயும் முக்கியம்தான் நீ எவ்வளவு கஷ்டப்பட்டு தெரியும் என்று சொல்லியிருந்தால் நான் இந்த நிலைமைக்கு வந்திருக்கவே மாட்டேன்,1
என் மனித்தை என்னை விட்டு போன்று போலிருக்கிறது,1
இப்போது நான் வாழும் வாழ்க்கு இ என் வாழ்க்கை இல்ல என் வாழ்க்கை எப்போதுயோ ஒழுஞ்சு போச்சு,1
ஏதாவது ஆண்களுக்கு யாரும் வரம் வரும்பது எனக்குத் தெரியும்,1
என்ன பொறுமை என்ன நிதானு எவ்வளவு நாள்தான் இந்த வாழ்க்கை நான் தல்லிட்டு போவது நீ எனக்கு,1
என்னால் முடியாது என்னால் இங்க கண்டிப்பாக இருக்க வே முடியாது,1
ஜென்மத்தில் எனக்கு நிம்மதி கல்லிக்காது போல நான் என்ன பண்ணேனும் என்று எனக்கு தெரியவில்லை,1
அப்போ போ என்மேல உனக்கு அக்கறை இருந்தால் நீ கண்டிப்பாய் என்னை விட்டு போயிருக்க மாட்டாய் யாருக்கு தெரியும் நீ என்னுடன் உண்மையாகக் கூட இல்லை நீ,1
யாரும் நான் எப்படி இருக்கின்று கூட கேட்கமாட்டார்கள் கேட்டாலும் நான் பதில் சொல்வதற்கு முன்னாடியே போய்விடுவார்கள்,1
யாராவது எனக்கு வந்தால் அதில் சொல்வார்கள் என்று எதிர்பார்ப்பேன் ஆனால் யாருமே வர மாட்டார்கள்,1
உடுத்துக்கொடு ரொம்ப கிஷ்டமாக இருக்கு நான் என்ன பண்ணுவேன்,1
என் மனது என்னை விட்டுப் போன மாதிரி இருக்கிறது,1
இப்ப நீ சும்மா இருந்தா எனக்கு ரொம்ப பயமா இருக்கு ஏதாவது பெரிசா நடக்கப்போறு மாதிரி இருக்கு,1
இந்த ஜென்மத்தில் எனக்கு ஒருவாட்டிக்கூட நிம்மதிக்கு எடுக்காது போல நான் என்ன பண்ணுவேன்,1
எவ்வளவு நாளா ஓடிட்டிருந்து ஆனா இப்போ எல்லாம் முடிந்து போகும் போது,1
இந்த இடக்கில் எப்போதுமே தெரிய சத்தம் கேட்கும் போல இருக்கு என்னால் அதைத் தாங்க முடியவில்லை,1
எனக்கும் தெரியல இன்னும் எவ்வளவு நல்தான் நான் இப்படி இருப்பேன் என்று ஆனால் நான் சீக்கிரமா மறந்ததும் நல்லதான் இருக்கும்,1
கண்ணுக்குள் என்னால் உடையுள்ள யாரும் என்ன பின்னாலியில்லைன்னு பத்துட்டியுள்ள மாதிரி இருக்கும் மாதிரி இருக்கும்,1
கதவு திருந்திருக்கா திருக்க முடியுமா என்னால் இங்க இருக்க முடியவில்லை,1
ஐயோம்மா இயில்லையே என்னால் சந்திக்கக்கூட முடியாதா,1
என்னால் இன்னும் எவ்வளவு குறுத்துக்க முடியும் என்று தெரியல் என் மனத்தில் இருக்கும் பாரம் என்னை கொஞ்சம் கொஞ்சமா கொண்டு இருக்கு,1
எனக்கு அலுத்து போச்சு என்னை யாருமே புரிஞ்சுக்க வே மாட்டேன்குறாங்க,1
எனக்கு எதுவும் புரியல நான் ஏன் இப்படி இருக்கனோ தெரியல எல்லாரும் என்னை விட்டுட்டு போய்டாங்க,1
